Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-408.2997	-420.97	12.67032	0.5173415	0.857853	0.0653809	0.0259021	0.0508636	1.024339	1.254482
6	-407.6248	-420.4972	12.87244	0.4607873	0.86448	0.0658859	0.0261021	0.0435322	0.9497509	1.193698
12	-408.3761	-421.14	12.76383	0.4384202	0.813244	0.0159228	0.037397	0.133437	1.542371	0.6829997
18	-404.5653	-417.4411	12.87574	0.4384202	0.912989	0.00134986	0.0451287	0.040532	1.430456	0.6829997
24	-411.7229	-423.7495	12.02668	0.5887327	0.883376	0.00109865	0.0220904	0.0934354	1.333459	1.46122
30	-409.1935	-422.0038	12.81038	0.7024977	0.897125	0.000738345	0.00435222	0.0977843	1.275282	0.5480194
36	-408.3879	-421.1849	12.79698	0.3241091	0.958576	0.00078892	0.0072535	0.0333815	1.43192	0.9086668
42	-413.3343	-426.4705	13.13624	0.1680252	0.11845	0.61643	0.0224832	0.242637	0.9191331	1.049751
48	-413.0451	-426.0364	12.99135	0.1327869	0.487209	0.450989	0.00143816	0.060364	0.927692	1.094227
54	-413.5701	-425.2569	11.68682	0.04065711	0.493241	0.336439	0.00140438	0.168916	1.494677	0.739263
60	-410.2347	-422.9375	12.70286	0.09390716	0.408499	0.442522	0.000493263	0.148485	1.414224	0.460035
66	-412.6703	-425.1142	12.44397	0.07535756	0.363839	0.58063	0.0031955	0.0523352	1.497336	0.4539603
72	-408.3048	-420.3329	12.02807	0.03880039	0.527138	0.402872	0.00812266	0.0618679	1.178149	0.5112248
78	-410.0725	-422.5087	12.43617	0.06654008	0.449394	0.480944	0.00808458	0.0615778	1.373039	0.4016332
84	-410.5672	-423.3406	12.77344	0.06539195	0.0996289	0.529917	0.0527303	0.317723	1.011487	0.632031
90	-408.3713	-420.907	12.53569	0.3887838	0.904721	0.0315399	0.00117486	0.0625646	1.860089	0.4405841
96	-407.6235	-420.1555	12.53201	0.2907061	0.903688	0.0496343	0.00138173	0.0452962	1.875558	0.3496378
102	-404.9111	-417.4218	12.51072	0.3804959	0.840859	0.0837517	0.004415	0.0709739	1.889529	0.4331315
108	-404.2234	-416.9803	12.75689	0.3340566	0.856272	0.0756403	0.0039874	0.0641001	1.681506	0.5493941
114	-406.6634	-419.2606	12.59717	0.3278909	0.910304	0.0512293	0.00423901	0.0342274	1.694847	0.8318567
120	-404.9586	-417.6826	12.72398	0.409916	0.924684	0.0414353	0.00619639	0.0276839	1.557648	0.7641024
126	-409.926	-422.6923	12.76624	0.2612258	0.866095	0.0352325	0.0131274	0.0855452	1.646122	0.69243
132	-408.2771	-420.6103	12.33326	0.2612258	0.856254	0.017813	0.00327529	0.122657	2.073967	0.7015172
138	-405.6847	-418.0673	12.38263	0.232433	0.955994	0.0198879	0.00365681	0.0204608	2.079873	0.4416794
144	-410.3603	-422.4759	12.11564	0.232433	0.952309	0.0236662	0.00364271	0.0203819	2.084077	0.2164438
150	-408.9885	-421.7068	12.71827	0.4053109	0.902172	0.0140892	0.00468914	0.0790499	1.619828	0.356102
156	-409.6006	-422.2638	12.66319	0.3116071	0.883254	0.0134525	0.0278152	0.0754778	1.786688	0.4487261
162	-416.3924	-429.0233	12.63091	0.1446396	0.280956	0.529584	0.112189	0.0772707	0.5000469	1.738105
168	-414.6602	-427.3931	12.73281	0.1235744	0.291461	0.562219	0.0708875	0.0754322	0.3260633	1.738105
174	-414.3702	-426.9427	12.57251	0.1389547	0.140483	0.585508	0.0741304	0.199879	0.5417925	1.738105
180	-415.9163	-427.6085	11.69217	0.5540168	0.908718	0.0370672	0.0401002	0.0141147	2.369163	0.2541743
186	-413.5143	-426.268	12.75365	0.3229474	0.787134	0.0704272	0.0897025	0.0527363	1.655626	0.3712326
192	-417.2338	-430.2951	13.06123	0.4641409	0.888069	0.0181886	0.0704571	0.0232852	1.189582	0.7359965
198	-416.8422	-429.3196	12.47743	0.8001639	0.759982	0.149032	0.0709362	0.0200495	1.445084	0.7016549
204	-413.0279	-425.7597	12.73185	0.4554408	0.793278	0.11175	0.074044	0.0209279	1.602974	0.4337974
210	-412.7618	-424.9454	12.18367	0.4740938	0.771627	0.190047	0.0286844	0.00964135	1.962095	0.2563112
216	-413.5059	-426.283	12.77709	0.417802	0.721852	0.261193	0.00442775	0.0125277	1.485305	0.7816031
222	-412.22	-424.8271	12.6071	0.5127589	0.839014	0.143725	0.00664209	0.0106191	1.630965	0.3577073
228	-410.0636	-421.8741	11.81052	0.4283106	0.916217	0.0147895	0.00282114	0.0661724	2.330616	0.2335239
234	-414.1667	-425.6796	11.51293	0.4486146	0.810428	0.128545	0.0024954	0.058532	2.24924	0.133283
240	-411.3667	-424.2135	12.84686	0.3554953	0.839842	0.0492723	0.00261946	0.108266	1.543662	0.3741301
246	-406.5773	-418.7716	12.19424	0.3554953	0.845927	0.0296519	0.000939603	0.123481	2.043869	0.2512405
252	-404.114	-415.6068	11.49278	0.1910408	0.804151	0.0281875	0.00225708	0.165404	2.386835	0.1376658
258	-404.4688	-415.1966	10.7278	0.2208191	0.872019	0.00763421	0.00106206	0.119284	2.996698	0.1089662
264	-401.9622	-412.828	10.86583	0.2121355	0.950235	0.00886579	0.0012334	0.0396654	3.067122	0.1448369
270	-403.4115	-414.6464	11.23495	0.251436	0.85873	0.0145297	0.00202136	0.124719	3.067122	0.2621061
276	-405.9796	-417.602	11.62235	0.3079922	0.85873	0.0145297	0.00202136	0.124719	2.59455	0.2283668
282	-406.7478	-419.3888	12.64094	0.2678762	0.846942	0.0143303	0.00199361	0.136734	1.669756	0.8385198
288	-405.6472	-418.5252	12.87801	0.2678762	0.849412	0.04185	0.000842273	0.107895	1.545101	0.6705181
294	-405.9433	-418.7915	12.84818	0.31401	0.789545	0.0674463	0.00247579	0.140533	1.605562	0.4832408
300	-408.6517	-420.071	11.41926	0.5586305	0.845745	0.0748675	0.0170432	0.0623445	2.441256	0.1801896
306	-403.9223	-416.3763	12.45406	0.3131189	0.78317	0.0306287	0.0157822	0.17042	1.98925	0.5795512
312	-404.4068	-416.7835	12.37675	0.2439911	0.869745	0.0318303	0.00465439	0.0937707	1.98925	0.3038269
318	-402.8173	-414.8113	11.99395	0.2348386	0.842082	0.030818	0.00313598	0.123964	2.250809	0.2347097
324	-402.869	-415.447	12.578	0.2348386	0.837356	0.0322401	0.00328069	0.127123	1.841468	0.3568806
330	-406.7227	-419.2426	12.51993	0.4603349	0.766928	0.0489878	0.00266187	0.181422	0.7600976	1.616642
336	-408.1129	-420.3133	12.20037	0.3507381	0.851494	0.0731071	0.00327232	0.072127	1.171947	1.616642
342	-405.1406	-417.928	12.78737	0.2982464	0.933101	0.0290846	0.0015573	0.0362567	1.424134	0.9414887
348	-413.3392	-425.3099	11.97073	0.5671686	0.940889	0.0537996	0.00257508	0.00273673	1.175845	1.635622
354	-405.0684	-417.8302	12.76175	0.281823	0.911868	0.0267591	0.00966358	0.0517093	1.59514	0.7733373
360	-405.7785	-418.4858	12.70731	0.3377429	0.886117	0.0577724	0.0208635	0.0352476	1.076017	1.310426
366	-402.6448	-415.5585	12.91371	0.304147	0.883304	0.0344072	0.0124255	0.0698636	1.545252	0.4925273
372	-411.4071	-423.8871	12.48002	0.5143396	0.922884	0.00654527	0.000854004	0.0697163	1.629725	0.8592366
378	-406.7647	-418.9156	12.15087	0.2338048	0.870655	0.0122935	0.00251062	0.114541	2.300643	0.6030037
384	-406.3419	-419.0971	12.75516	0.2737163	0.886989	0.0117142	0.00218241	0.099114	1.642409	0.7144265
390	-405.5392	-418.2836	12.74436	0.2010191	0.930821	0.0114227	0.0025105	0.0552458	1.523147	0.8703726
396	-404.1126	-416.669	12.55641	0.4182106	0.886358	0.0108771	0.00239058	0.100374	1.810619	0.5796115
402	-408.0421	-420.2133	12.17118	0.3008422	0.81878	0.027515	0.014098	0.139607	2.22332	0.7043475
408	-410.3729	-422.6496	12.27666	0.3666392	0.822308	0.0290323	0.00440862	0.144251	1.913991	0.9198098
414	-409.8117	-422.275	12.46339	0.2577358	0.822456	0.0290375	0.00422912	0.144277	1.839409	0.8497083
420	-411.077	-423.5978	12.52081	0.2530876	0.836323	0.0295271	0.00430043	0.129849	1.34184	1.271356
426	-411.4287	-423.816	12.38729	0.3112636	0.780653	0.0240422	0.0046803	0.190625	1.458931	1.271356
432	-410.1885	-422.855	12.66653	0.2808319	0.875584	0.0332619	0.00426043	0.086894	1.791878	0.5714829
438	-408.0143	-420.9345	12.9202	0.4709224	0.906556	0.0346386	0.00859518	0.0502101	1.331238	0.724666
444	-412.7728	-425.5259	12.75301	0.4871853	0.832152	0.0622193	0.0154391	0.0901896	1.551551	0.4350039
450	-413.4213	-425.8376	12.41639	0.4578215	0.64076	0.248539	0.0103536	0.100347	1.86163	0.3415822
456	-420.5417	-433.1028	12.56108	0.1516894	0.576663	0.222687	0.110741	0.0899098	1.6767	0.2788074
462	-415.2961	-428.1433	12.84723	0.1828429	0.151202	0.381316	0.0553876	0.412094	1.518175	0.7109064
468	-417.1159	-430.4385	13.32255	0.1827105	0.172803	0.579839	0.0920495	0.155309	0.9289916	0.867014
474	-415.3125	-428.8491	13.53661	0.1192643	0.142031	0.540925	0.069274	0.24777	0.4219988	1.004934
480	-414.5812	-427.8891	13.30783	0.2368108	0.0841299	0.575588	0.0737131	0.266569	0.9570739	0.8928886
